image,video_pred,minutage_pred
i158,v036,6.333333333333333
i159,v080,4.0
i160,out,
i161,v082,2.0
i162,out,
i163,v030,1.3333333333333333
i164,v067,17.666666666666668
i165,out,
i166,v097,5.666666666666667
i167,v042,3.0
i168,v051,1.0
i169,v049,5.333333333333333
i170,out,
i171,v087,1.0
i172,v072,4.333333333333333
i173,v076,2.6666666666666665
i174,out,
i175,v067,0.0
i176,v067,8.666666666666666
i177,v052,1.6666666666666667
i178,v045,18.666666666666668
i179,v013,15.333333333333334
i180,v032,18.0
i181,v056,13.0
i182,v016,6.333333333333333
i183,v026,0.0
i184,out,
i185,v013,0.6666666666666666
i186,v029,9.333333333333334
i187,v072,8.333333333333334
i188,v041,14.666666666666666
i189,v078,15.333333333333334
i190,out,
i191,v015,3.6666666666666665
i192,out,
i193,v034,9.333333333333334
i194,out,
i195,v082,2.3333333333333335
i196,v046,5.666666666666667
i197,v079,8.666666666666666
i198,v100,7.333333333333333
i199,v039,0.0
i200,v034,23.666666666666668
i201,v041,3.6666666666666665
i202,v015,8.333333333333334
i203,v001,0.6666666666666666
i204,out,
i205,v053,15.666666666666666
i206,v078,10.0
i207,v058,3.6666666666666665
i208,v048,10.666666666666666
i209,out,
i210,v059,5.666666666666667
i211,v010,11.0
i212,v049,15.0
i213,v009,11.0
i214,out,
i215,v071,5.0
i216,out,
i217,v045,13.666666666666666
i218,v079,4.0
i219,out,
i220,v019,16.666666666666668
i221,v002,11.333333333333334
i222,v017,4.0
i223,out,
i224,v062,0.6666666666666666
i225,v031,4.0
i226,v089,14.333333333333334
i227,v093,3.0
i228,v036,1.3333333333333333
i229,v012,11.666666666666666
i230,out,
i231,v016,4.333333333333333
i232,v066,5.666666666666667
i233,v084,10.666666666666666
i234,v004,5.333333333333333
i235,out,
i236,v007,17.0
i237,v003,0.3333333333333333
i238,v043,8.666666666666666
i239,v094,12.333333333333334
i240,v032,9.333333333333334
i241,v091,7.0
i242,v019,14.666666666666666
i243,out,
i244,v046,3.6666666666666665
i245,v040,9.333333333333334
i246,v037,8.333333333333334
i247,v065,0.3333333333333333
i248,v006,5.0
i249,v023,0.0
i250,v020,8.333333333333334
i251,v033,11.0
i252,v055,8.333333333333334
i253,v089,4.666666666666667
i254,v041,0.3333333333333333
i255,v043,8.333333333333334
i256,v054,5.333333333333333
i257,out,
i258,v058,0.3333333333333333
i259,v074,8.333333333333334
i260,v064,3.0
i261,out,
i262,v076,10.0
i263,v023,8.0
i264,v085,6.666666666666667
i265,out,
i266,out,
i267,out,
i268,v092,19.666666666666668
i269,out,
i270,v010,10.0
i271,out,
i272,out,
i273,out,
i274,v091,2.6666666666666665
i275,v018,14.0
i276,out,
i277,v034,24.0
i278,v038,6.0
i279,v045,0.0
i280,out,
i281,v077,4.333333333333333
i282,v072,6.333333333333333
i283,out,
i284,v024,20.0
i285,out,
i286,out,
i287,v094,12.666666666666666
i288,out,
i289,v075,8.333333333333334
i290,v050,14.666666666666666
i291,out,
i292,v081,4.666666666666667
i293,out,
i294,v074,2.0
i295,v048,8.0
i296,v006,7.666666666666667
i297,v029,4.333333333333333
i298,v035,5.666666666666667
i299,out,
i300,v090,7.0
i301,v057,8.0
i302,v034,11.333333333333334
i303,v011,19.333333333333332
i304,v094,10.333333333333334
i305,out,
i306,out,
i307,v050,9.0
i308,v008,19.0
i309,v063,4.0
i310,v062,10.666666666666666
i311,out,
i312,v083,4.333333333333333
i313,v014,12.0
i314,v022,8.333333333333334
i315,v031,1.0
i316,v032,4.0
i317,v080,14.0
i318,v013,16.666666666666668
i319,v064,12.0
i320,v066,9.666666666666666
i321,out,
i322,v057,17.666666666666668
i323,v009,13.666666666666666
i324,v062,4.666666666666667
i325,out,
i326,v057,9.333333333333334
i327,out,
i328,v023,12.333333333333334
i329,v003,5.0
i330,v080,15.0
i331,v082,1.0
i332,v028,3.6666666666666665
i333,v028,3.6666666666666665
i334,out,
i335,v044,4.333333333333333
i336,v027,1.3333333333333333
i337,v051,8.333333333333334
i338,v077,15.0
i339,v042,10.666666666666666
i340,v064,14.333333333333334
i341,v044,0.3333333333333333
i342,v053,5.0
i343,v078,20.0
i344,v043,2.3333333333333335
i345,v016,2.6666666666666665
i346,v018,13.333333333333334
i347,v047,6.333333333333333
i348,v029,9.666666666666666
i349,v013,9.333333333333334
i350,v038,2.3333333333333335
i351,v011,2.0
i352,v024,18.333333333333332
i353,v043,3.6666666666666665
i354,v011,10.666666666666666
i355,v092,9.333333333333334
i356,v050,4.666666666666667
i357,out,
i358,v090,0.3333333333333333
i359,v053,14.333333333333334
i360,v083,10.333333333333334
i361,v033,2.6666666666666665
i362,out,
i363,v017,1.0
i364,out,
i365,v066,8.333333333333334
i366,out,
i367,v067,17.333333333333332
i368,v024,4.333333333333333
i369,v008,8.0
i370,v063,0.3333333333333333
i371,v063,7.0
i372,v036,3.0
i373,v096,10.0
i374,v031,4.666666666666667
i375,v067,0.0
i376,v021,12.0
i377,out,
i378,v064,11.666666666666666
i379,out,
i380,v061,6.0
i381,v075,8.0
i382,v034,23.0
i383,v076,3.0
i384,v087,9.0
i385,v069,7.0
i386,v045,14.333333333333334
i387,v061,0.0
i388,v002,8.333333333333334
i389,v032,18.0
i390,v001,5.666666666666667
i391,v087,20.333333333333332
i392,v068,7.666666666666667
i393,v071,2.0
i394,out,
i395,v066,13.333333333333334
i396,v041,5.666666666666667
i397,out,
i398,v096,0.0
i399,v019,22.333333333333332
i400,out,
i401,v056,5.333333333333333
i402,v082,2.0
i403,v058,19.0
i404,v100,9.333333333333334
i405,v068,4.0
i406,v092,16.0
i407,v087,3.6666666666666665
i408,v075,3.3333333333333335
i409,v066,2.3333333333333335
i410,v029,13.0
i411,out,
i412,v099,9.333333333333334
i413,v049,4.333333333333333
i414,v011,7.666666666666667
i415,v085,7.666666666666667
i416,v019,5.666666666666667
i417,v093,2.0
i418,v012,10.666666666666666
i419,v048,9.0
i420,v007,14.333333333333334
i421,v058,12.0
i422,v031,4.0
i423,v033,9.666666666666666
i424,v027,7.333333333333333
i425,v028,9.666666666666666
i426,v058,9.333333333333334
i427,v072,12.666666666666666
i428,v011,14.666666666666666
i429,v082,3.6666666666666665
i430,v043,7.666666666666667
i431,v072,1.0
i432,out,
i433,v038,5.333333333333333
i434,v060,3.3333333333333335
i435,v004,1.0
i436,v074,7.0
i437,out,
i438,v065,5.0
i439,v008,10.0
i440,v087,14.333333333333334
i441,v011,4.0
i442,out,
i443,v027,10.0
i444,v002,2.3333333333333335
i445,out,
i446,v099,3.6666666666666665
i447,v073,3.0
i448,v075,8.0
i449,out,
i450,v098,4.333333333333333
i451,v016,0.3333333333333333
i452,out,
i453,out,
i454,v077,2.0
i455,v009,6.666666666666667
i456,v059,2.6666666666666665
i457,v020,5.333333333333333
i458,v015,5.666666666666667
i459,v028,5.666666666666667
i460,v082,0.6666666666666666
i461,v095,1.0
i462,v080,9.666666666666666
i463,v032,4.0
i464,v031,11.333333333333334
i465,v045,14.666666666666666
i466,out,
i467,v099,9.666666666666666
i468,v016,9.0
i469,v014,4.666666666666667
i470,v028,3.6666666666666665
i471,v014,3.0
i472,v096,5.0
i473,v099,9.666666666666666
i474,v007,10.666666666666666
i475,out,
i476,v046,0.6666666666666666
i477,v021,11.666666666666666
i478,v079,2.0
i479,out,
i480,v095,0.3333333333333333
i481,v032,2.6666666666666665
i482,v040,2.3333333333333335
i483,out,
i484,v074,0.3333333333333333
i485,v070,14.0
i486,v086,6.333333333333333
i487,out,
i488,v070,14.666666666666666
i489,v081,1.3333333333333333
i490,v094,14.333333333333334
i491,v076,18.0
i492,v021,15.0
i493,out,
i494,v023,5.333333333333333
i495,v010,15.0
i496,v034,10.666666666666666
i497,out,
i498,out,
i499,v092,8.666666666666666
i500,v060,11.0
i501,out,
i502,v007,16.333333333333332
i503,out,
i504,v060,11.0
i505,v002,5.333333333333333
i506,v091,7.666666666666667
i507,v033,8.333333333333334
i508,out,
i509,v045,1.6666666666666667
i510,v007,0.6666666666666666
i511,v005,4.333333333333333
i512,out,
i513,v063,5.666666666666667
i514,v045,12.0
i515,v057,12.666666666666666
i516,v054,2.0
i517,v032,18.333333333333332
i518,v056,2.6666666666666665
i519,v018,1.6666666666666667
i520,v074,4.333333333333333
i521,v007,9.333333333333334
i522,v048,0.6666666666666666
i523,v083,12.666666666666666
i524,v010,2.0
i525,v011,8.666666666666666
i526,v041,17.333333333333332
i527,v036,0.3333333333333333
i528,v070,20.666666666666668
i529,out,
i530,v014,12.0
i531,v061,2.0
i532,v092,15.333333333333334
i533,v094,3.0
i534,v057,15.666666666666666
i535,v060,1.3333333333333333
i536,v015,0.3333333333333333
i537,v006,2.3333333333333335
i538,v032,19.0
i539,out,
i540,v017,5.333333333333333
i541,v072,16.666666666666668
i542,v087,20.333333333333332
i543,v035,3.3333333333333335
i544,v009,8.666666666666666
i545,v096,14.666666666666666
i546,v058,14.666666666666666
i547,v017,2.0
i548,v019,17.333333333333332
i549,v058,17.666666666666668
i550,v049,8.666666666666666
i551,out,
i552,v032,4.0
i553,v071,6.666666666666667
i554,v080,0.3333333333333333
i555,v028,10.333333333333334
i556,v090,3.6666666666666665
i557,v078,10.0
i558,v072,11.666666666666666
i559,v082,3.6666666666666665
i560,v069,7.0
i561,v045,14.333333333333334
i562,v015,7.0
i563,out,
i564,v080,12.666666666666666
i565,v066,12.0
i566,v015,12.333333333333334
i567,out,
i568,v029,11.666666666666666
i569,v084,7.0
i570,v050,7.333333333333333
i571,out,
i572,v078,18.333333333333332
i573,v096,0.6666666666666666
i574,v060,7.333333333333333
i575,out,
i576,out,
i577,out,
i578,v076,1.6666666666666667
i579,v024,15.333333333333334
i580,v042,0.0
i581,v041,10.666666666666666
i582,out,
i583,v048,9.333333333333334
i584,v007,7.333333333333333
i585,v095,10.0
i586,v050,1.0
i587,v011,5.333333333333333
i588,out,
i589,v076,1.3333333333333333
i590,v046,8.0
i591,v005,2.6666666666666665
i592,v020,0.0
i593,v070,10.0
i594,v024,7.333333333333333
i595,v016,4.333333333333333
i596,v078,3.0
i597,v057,2.6666666666666665
i598,v094,8.333333333333334
i599,v084,0.6666666666666666
i600,out,
i601,v054,7.0
i602,v085,7.666666666666667
i603,v007,5.666666666666667
i604,v019,10.333333333333334
i605,v081,1.3333333333333333
i606,v018,10.333333333333334
i607,v019,19.333333333333332
i608,v039,5.333333333333333
i609,v097,0.3333333333333333
i610,v040,9.333333333333334
i611,v008,0.0
i612,out,
i613,v057,0.0
i614,v056,10.666666666666666
i615,v007,8.0
i616,v049,4.666666666666667
i617,v057,11.0
i618,v019,14.0
i619,v006,4.333333333333333
i620,v092,17.666666666666668
i621,v012,0.3333333333333333
i622,v096,8.0
i623,out,
i624,v006,4.0
i625,v029,7.0
i626,v079,9.0
i627,v009,6.666666666666667
i628,v007,12.666666666666666
i629,v036,9.0
i630,v059,0.6666666666666666
i631,v038,8.333333333333334
i632,v004,7.333333333333333
i633,v099,5.0
i634,v024,10.333333333333334
i635,v021,4.0
i636,v078,14.666666666666666
i637,v076,3.0
i638,v042,6.666666666666667
i639,v035,4.333333333333333
i640,v092,11.666666666666666
i641,v075,3.3333333333333335
i642,v094,5.0
i643,v091,13.0
i644,v019,23.0
i645,out,
i646,v095,4.0
i647,v070,20.666666666666668
i648,v030,6.666666666666667
i649,v056,4.0
i650,v049,14.666666666666666
i651,out,
i652,v094,3.6666666666666665
i653,v023,10.0
i654,v050,19.0
i655,v037,3.6666666666666665
i656,v044,9.666666666666666
i657,v052,6.0
i658,v016,10.666666666666666
i659,v097,2.0
i660,out,
i661,v034,23.666666666666668
i662,v008,17.666666666666668
i663,v095,0.0
i664,v014,13.0
i665,v038,10.0
i666,v092,10.0
i667,v044,7.666666666666667
i668,out,
i669,v070,23.333333333333332
i670,v042,17.666666666666668
i671,out,
i672,v058,4.666666666666667
i673,out,
i674,v068,14.666666666666666
i675,v077,15.666666666666666
i676,out,
i677,v021,15.0
i678,v096,12.333333333333334
i679,out,
i680,v042,19.0
i681,out,
i682,v080,9.666666666666666
i683,v088,1.3333333333333333
i684,v092,9.333333333333334
i685,v053,16.0
i686,v041,18.666666666666668
i687,v045,14.333333333333334
i688,v054,7.666666666666667
i689,out,
i690,v069,7.0
i691,v045,10.666666666666666
i692,out,
i693,v030,16.666666666666668
i694,v004,3.0
i695,v054,4.666666666666667
i696,v050,21.333333333333332
i697,v056,14.0
i698,v007,2.3333333333333335
i699,v062,8.333333333333334
i700,out,
i701,v037,1.6666666666666667
i702,v053,7.0
i703,v056,9.333333333333334
i704,v042,14.666666666666666
i705,v064,13.0
i706,v034,23.0
i707,out,
i708,v055,3.3333333333333335
i709,out,
i710,v100,0.6666666666666666
i711,v067,0.3333333333333333
i712,v045,8.0
i713,v085,0.3333333333333333
i714,v051,5.666666666666667
i715,v076,20.333333333333332
i716,v016,0.3333333333333333
i717,v012,7.666666666666667
i718,v072,15.333333333333334
i719,v077,19.333333333333332
i720,v063,1.3333333333333333
i721,v070,1.3333333333333333
i722,v076,18.333333333333332
i723,v047,1.0
i724,v026,2.0
i725,v039,3.0
i726,v088,6.0
i727,v054,8.0
i728,v058,13.0
i729,v001,7.333333333333333
i730,out,
i731,v070,6.333333333333333
i732,v021,5.333333333333333
i733,v044,7.666666666666667
i734,out,
i735,v071,6.0
i736,out,
i737,v081,4.0
i738,v043,10.333333333333334
i739,v039,6.666666666666667
i740,v043,2.0
i741,out,
i742,v042,11.666666666666666
i743,v084,0.3333333333333333
i744,v073,5.0
i745,v097,4.333333333333333
i746,v077,8.0
i747,v020,1.0
i748,v032,3.0
i749,out,
i750,v029,1.0
i751,v099,0.0
i752,out,
i753,v018,10.333333333333334
i754,v066,7.333333333333333
i755,v089,13.0
i756,v089,10.0
i757,v084,7.0
i758,v057,14.333333333333334
i759,v056,6.666666666666667
i760,v059,4.0
i761,out,
i762,v078,5.333333333333333
i763,v037,6.666666666666667
i764,v079,2.0
i765,v063,0.3333333333333333
i766,out,
i767,v098,6.666666666666667
i768,v071,9.333333333333334
i769,out,
i770,v066,4.333333333333333
i771,v090,0.6666666666666666
i772,v010,2.0
i773,v096,11.0
i774,out,
i775,v010,17.333333333333332
i776,out,
i777,out,
i778,v093,4.666666666666667
i779,v013,4.666666666666667
i780,out,
i781,v026,6.0
i782,v092,17.0
i783,v020,10.0
i784,v043,9.0
i785,v005,0.6666666666666666
i786,v031,11.333333333333334
i787,v074,0.6666666666666666
i788,v087,14.0
i789,v067,1.0
i790,out,
i791,v022,9.0
i792,out,
i793,v024,12.0
i794,v013,14.666666666666666
i795,out,
i796,v068,10.0
i797,v043,5.0
i798,v035,1.6666666666666667
i799,v059,8.0
i800,v100,13.333333333333334
i801,v052,8.0
i802,v083,7.0
i803,v077,12.666666666666666
i804,v029,8.0
i805,v074,3.6666666666666665
i806,out,
i807,v061,7.333333333333333
i808,v064,6.666666666666667
i809,v089,1.3333333333333333
i810,v056,12.0
i811,v083,2.3333333333333335
i812,v041,12.0
i813,out,
i814,out,
i815,out,
i816,v096,4.0
i817,v045,13.666666666666666
i818,v027,5.666666666666667
i819,v043,9.0
i820,v041,23.333333333333332
i821,v015,2.0
i822,out,
i823,v048,17.666666666666668
i824,v080,13.666666666666666
i825,v078,4.666666666666667
i826,v016,1.3333333333333333
i827,v092,14.666666666666666
i828,v027,8.666666666666666
i829,v036,4.666666666666667
i830,out,
i831,v018,3.3333333333333335
i832,v091,4.0
i833,out,
i834,v087,9.0
i835,v013,0.3333333333333333
i836,v069,11.0
i837,v080,7.0
i838,v068,1.3333333333333333
i839,out,
i840,v034,19.333333333333332
i841,out,
i842,out,
i843,out,
i844,out,
i845,v026,9.333333333333334
i846,v083,1.0
i847,v026,1.0
i848,v053,10.333333333333334
i849,out,
i850,v066,1.0
i851,v100,12.666666666666666
i852,v099,4.333333333333333
i853,v025,5.333333333333333
i854,v058,1.3333333333333333
i855,v049,5.666666666666667
i856,v030,10.0
i857,v075,7.0
i858,v004,9.0
i859,out,
i860,v098,7.666666666666667
i861,v007,19.333333333333332
i862,out,
i863,v043,8.333333333333334
i864,v083,12.666666666666666
i865,v068,4.666666666666667
i866,v048,7.666666666666667
i867,v047,2.3333333333333335
i868,out,
i869,out,
i870,out,
i871,v049,6.0
i872,v021,13.0
i873,v070,8.0
i874,v045,5.333333333333333
i875,v029,2.3333333333333335
i876,v096,6.666666666666667
i877,out,
i878,v023,11.0
i879,v069,12.333333333333334
i880,v034,24.0
i881,v067,4.333333333333333
i882,v096,9.0
i883,v058,2.6666666666666665
i884,v088,3.3333333333333335
i885,out,
i886,v082,4.0
i887,v013,10.0
i888,out,
i889,v084,11.0
i890,v011,0.3333333333333333
i891,v005,8.0
i892,v008,10.333333333333334
i893,v021,10.0
i894,v016,5.333333333333333
i895,out,
i896,v017,3.3333333333333335
i897,v010,16.333333333333332
i898,v087,6.0
i899,v045,16.0
i900,v051,7.0
i901,v076,13.0
i902,v082,3.6666666666666665
i903,out,
i904,v007,16.0
i905,v062,3.3333333333333335
i906,v009,12.666666666666666
i907,out,
i908,v035,9.666666666666666
i909,v074,5.666666666666667
i910,v015,16.666666666666668
i911,v055,5.666666666666667
i912,v087,8.0
i913,v061,4.0
i914,v036,7.0
i915,v088,4.666666666666667
i916,out,
i917,out,
i918,v094,6.333333333333333
i919,v014,1.3333333333333333
i920,v092,18.333333333333332
i921,v065,13.333333333333334
i922,v009,8.333333333333334
i923,v073,9.0
i924,out,
i925,v052,4.0
i926,v045,13.333333333333334
i927,out,
i928,out,
i929,v091,0.3333333333333333
i930,v024,19.333333333333332
i931,v077,4.333333333333333
i932,v077,14.0
i933,v081,3.3333333333333335
i934,v050,13.333333333333334
i935,v015,10.0
i936,v032,18.333333333333332
i937,v060,4.666666666666667
i938,v045,15.666666666666666
i939,v096,2.6666666666666665
i940,out,
i941,v072,10.333333333333334
i942,v072,9.0
i943,v080,19.333333333333332
i944,v092,9.333333333333334
i945,v016,4.333333333333333
i946,v071,3.3333333333333335
i947,v067,16.333333333333332
i948,v035,8.0
i949,v087,9.0
i950,v042,2.0
i951,v082,3.6666666666666665
i952,v094,1.6666666666666667
i953,v047,8.0
i954,v045,4.0
i955,v021,5.0
i956,v035,2.6666666666666665
i957,out,
i958,v007,4.0
i959,v002,1.0
i960,v080,2.3333333333333335
i961,v071,10.666666666666666
i962,v053,11.333333333333334
i963,out,
i964,v077,11.666666666666666
i965,v051,4.666666666666667
i966,v085,7.666666666666667
i967,out,
i968,v092,17.666666666666668
i969,v032,2.3333333333333335
i970,v030,9.0
i971,v023,2.0
i972,v099,7.666666666666667
i973,out,
i974,v072,2.0
i975,v094,3.6666666666666665
i976,v098,2.3333333333333335
i977,v092,9.666666666666666
i978,v058,6.0
i979,v049,6.333333333333333
i980,v053,16.0
i981,v044,6.0
i982,v013,16.666666666666668
i983,v050,21.0
i984,out,
i985,v087,20.333333333333332
i986,v025,7.0
i987,v037,5.0
i988,v016,0.3333333333333333
i989,v061,2.6666666666666665
i990,v063,0.6666666666666666
i991,v089,16.666666666666668
i992,v081,2.6666666666666665
i993,v010,18.0
i994,v086,8.0
i995,v073,1.6666666666666667
i996,v100,0.3333333333333333
i997,v089,11.666666666666666
i998,v042,8.666666666666666
i999,v080,17.333333333333332
indexation,211.11579418182373,Tests,82.89960885047913
