image,video_pred,minutage_pred
i129,v005,12
i130,v072,13
i131,v065,3
i132,v056,7
i133,v040,5
i134,v009,14
i135,v057,9
i136,v033,4
i137,v006,8
i138,v099,0
i139,v095,0
i140,v049,4
i141,v043,1
i142,v070,4
i143,v098,1
i144,out,
i145,v009,14
i146,v017,1
i147,v062,9
i148,v095,0
i149,v099,8
i150,v094,11
i151,v051,1
i152,v023,7
i153,v084,0
i154,v072,14
i155,v034,1
i156,out,
i157,v095,0
i158,v036,6
i159,v080,3
i160,v082,1
i161,out,
i162,v001,7
i163,v088,5
i164,v067,17
i165,out,
i166,v097,7
i167,v042,3
i168,v051,2
i169,v049,4
i170,v100,8
i171,v088,4
i172,v072,4
i173,out,
i174,v081,2
i175,v067,14
i176,v067,10
i177,v052,2
i178,v045,19
i179,out,
i180,v032,16
i181,v056,14
i182,v016,6
i183,v026,0
i184,v076,5
i185,v034,24
i186,v029,9
i187,v072,9
i188,v041,11
i189,v078,11
i190,v061,4
i191,v016,5
i192,v016,2
i193,v034,24
i194,v074,0
i195,v034,24
i196,v046,9
i197,v079,12
i198,v100,7
i199,v022,1
i200,v034,24
i201,v041,13
i202,v015,7
i203,v001,7
i204,v001,7
i205,v072,13
i206,v078,11
i207,v040,6
i208,v048,6
i209,v087,12
i210,v037,6
i211,v010,12
i212,v049,2
i213,v009,11
i214,v086,8
i215,v071,5
i216,out,
i217,v074,0
i218,v079,1
i219,v080,2
i220,v019,1
i221,out,
i222,v017,11
i223,v069,11
i224,v062,1
i225,v031,5
i226,v089,16
i227,v093,2
i228,out,
i229,out,
i230,out,
i231,v016,4
i232,v066,10
i233,v097,0
i234,v004,5
i235,v062,1
i236,v007,9
i237,v009,14
i238,v040,6
i239,v094,13
i240,v032,11
i241,v091,10
i242,v019,23
i243,v054,8
i244,v046,1
i245,v040,5
i246,v037,8
i247,v065,1
i248,v006,5
i249,v023,4
i250,v088,6
i251,v033,11
i252,v049,4
i253,v089,5
i254,v041,13
i255,v043,1
i256,v054,6
i257,v062,1
i258,v040,5
i259,v074,10
i260,v064,3
i261,v031,5
i262,v076,10
i263,v023,7
i264,v085,8
i265,v083,0
i266,v099,0
i267,v040,3
i268,v012,11
i269,v001,7
i270,out,
i271,v001,5
i272,v087,12
i273,v037,7
i274,v091,2
i275,v018,14
i276,out,
i277,v034,24
i278,v038,3
i279,v045,0
i280,v006,2
i281,v077,11
i282,v072,1
i283,v043,1
i284,v024,18
i285,v099,0
i286,out,
i287,v094,12
i288,out,
i289,v095,0
i290,v050,15
i291,v062,1
i292,v081,4
i293,v049,12
i294,v074,4
i295,v048,0
i296,v006,6
i297,v029,4
i298,out,
i299,out,
i300,out,
i301,v066,0
i302,v034,24
i303,v011,6
i304,v094,10
i305,out,
i306,v086,1
i307,v050,9
i308,out,
i309,v016,4
i310,v062,9
i311,v016,1
i312,v083,5
i313,v037,7
i314,v022,9
i315,v031,5
i316,v032,10
i317,v080,15
i318,v040,3
i319,v064,11
i320,out,
i321,v062,2
i322,v069,11
i323,v062,0
i324,v062,5
i325,v062,2
i326,v066,0
i327,v009,12
i328,v023,9
i329,v009,14
i330,v080,15
i331,out,
i332,v028,8
i333,v028,10
i334,v054,7
i335,v044,4
i336,v027,2
i337,v051,7
i338,v077,17
i339,v042,12
i340,v064,16
i341,v044,1
i342,v072,13
i343,v078,19
i344,v043,2
i345,v016,3
i346,v018,3
i347,v047,2
i348,v040,8
i349,out,
i350,v038,2
i351,v011,4
i352,v024,18
i353,v043,5
i354,v077,4
i355,v040,3
i356,v050,7
i357,v061,3
i358,v090,2
i359,v072,0
i360,v083,11
i361,v033,2
i362,v054,8
i363,v017,9
i364,out,
i365,v016,3
i366,v087,12
i367,v067,14
i368,v024,3
i369,out,
i370,v072,13
i371,v063,9
i372,v036,3
i373,v096,10
i374,v031,5
i375,v067,9
i376,v021,17
i377,v049,12
i378,v064,11
i379,v082,1
i380,v061,5
i381,v095,0
i382,v034,24
i383,out,
i384,v088,4
i385,v009,11
i386,v013,16
i387,v061,0
i388,v002,8
i389,v032,16
i390,v001,2
i391,v087,19
i392,v068,4
i393,v071,4
i394,v087,12
i395,v062,2
i396,v041,8
i397,v054,0
i398,v096,1
i399,v019,20
i400,v006,2
i401,v056,7
i402,out,
i403,v058,17
i404,v100,9
i405,v088,3
i406,out,
i407,v088,4
i408,v095,0
i409,v066,12
i410,v029,13
i411,out,
i412,out,
i413,v049,5
i414,v077,4
i415,v085,10
i416,v019,1
i417,v009,11
i418,out,
i419,v048,1
i420,v007,13
i421,v040,9
i422,v031,5
i423,v005,0
i424,v027,7
i425,v028,10
i426,v040,3
i427,v072,13
i428,v011,12
i429,v037,7
i430,v043,1
i431,v072,1
i432,v007,20
i433,v038,5
i434,out,
i435,v004,0
i436,v074,9
i437,v001,7
i438,v065,5
i439,v008,7
i440,v087,10
i441,v034,0
i442,v010,20
i443,v027,9
i444,v002,4
i445,v088,4
i446,out,
i447,v073,0
i448,v095,0
i449,v001,7
i450,out,
i451,v016,3
i452,v086,1
i453,v009,12
i454,v077,2
i455,v009,7
i456,v059,3
i457,v020,5
i458,v015,6
i459,v028,10
i460,v082,1
i461,v095,0
i462,v080,14
i463,v032,19
i464,v031,10
i465,v045,14
i466,v062,2
i467,v072,12
i468,v016,5
i469,v014,6
i470,v028,6
i471,v014,3
i472,v096,5
i473,out,
i474,v007,10
i475,v099,5
i476,v046,0
i477,v058,4
i478,v079,12
i479,v009,13
i480,v095,0
i481,v032,10
i482,v040,5
i483,v066,2
i484,v043,1
i485,v070,14
i486,v034,24
i487,out,
i488,v024,14
i489,out,
i490,v094,15
i491,v009,13
i492,v021,17
i493,out,
i494,v023,7
i495,v016,3
i496,v034,14
i497,v024,12
i498,v076,18
i499,v092,8
i500,v034,1
i501,out,
i502,v007,14
i503,out,
i504,v034,6
i505,v002,5
i506,v091,10
i507,v033,8
i508,out,
i509,v045,2
i510,v007,1
i511,v005,4
i512,v040,7
i513,v016,5
i514,v045,12
i515,v057,13
i516,v054,2
i517,v032,19
i518,v056,2
i519,v018,2
i520,v074,4
i521,v007,9
i522,v048,6
i523,v040,6
i524,out,
i525,v011,12
i526,v041,18
i527,out,
i528,v070,21
i529,v066,1
i530,v014,11
i531,v043,1
i532,out,
i533,out,
i534,v057,15
i535,v034,17
i536,v015,0
i537,v006,6
i538,v032,16
i539,v056,17
i540,v017,7
i541,v072,14
i542,v087,5
i543,out,
i544,v009,8
i545,v096,14
i546,v040,10
i547,v017,2
i548,v019,24
i549,v040,9
i550,v049,10
i551,v061,3
i552,v032,19
i553,v071,6
i554,v072,1
i555,v028,10
i556,v090,5
i557,v078,11
i558,v072,12
i559,v083,0
i560,v039,0
i561,v013,16
i562,v015,7
i563,v096,15
i564,v080,14
i565,v066,12
i566,v015,13
i567,v062,2
i568,v029,3
i569,v097,0
i570,v050,7
i571,v041,19
i572,v078,19
i573,v080,1
i574,v060,14
i575,v041,11
i576,out,
i577,v088,3
i578,v076,3
i579,v024,18
i580,v042,0
i581,v041,5
i582,v030,10
i583,v048,7
i584,v007,7
i585,v095,0
i586,v050,0
i587,v034,0
i588,v054,0
i589,v076,2
i590,v046,1
i591,out,
i592,v072,2
i593,v070,11
i594,v024,8
i595,v016,4
i596,v078,16
i597,v057,10
i598,out,
i599,v088,6
i600,out,
i601,v054,8
i602,v085,10
i603,v007,5
i604,v001,2
i605,out,
i606,v056,1
i607,v019,19
i608,v094,11
i609,v097,4
i610,v040,7
i611,v008,0
i612,v064,11
i613,v057,9
i614,v056,11
i615,v007,8
i616,v049,5
i617,v057,14
i618,v019,14
i619,v006,4
i620,v092,12
i621,v012,0
i622,v096,7
i623,out,
i624,v006,6
i625,v029,7
i626,v079,12
i627,v009,5
i628,v007,13
i629,v036,9
i630,v037,1
i631,v038,8
i632,v004,7
i633,v099,8
i634,v040,7
i635,v021,1
i636,v078,14
i637,v009,5
i638,v042,7
i639,out,
i640,v040,5
i641,v095,0
i642,out,
i643,v091,5
i644,v019,12
i645,v008,3
i646,v095,0
i647,v070,21
i648,v040,3
i649,v056,4
i650,v049,4
i651,out,
i652,out,
i653,v023,9
i654,v050,19
i655,v037,4
i656,v009,12
i657,v052,6
i658,v016,10
i659,v097,5
i660,out,
i661,v034,24
i662,v008,17
i663,v095,0
i664,v037,7
i665,v038,10
i666,out,
i667,v009,5
i668,out,
i669,v024,15
i670,v042,15
i671,out,
i672,v040,10
i673,v087,12
i674,v068,4
i675,v077,17
i676,v054,5
i677,v021,17
i678,v096,11
i679,v080,1
i680,v042,18
i681,v080,0
i682,v080,14
i683,v016,1
i684,v040,3
i685,v072,0
i686,v041,19
i687,v074,0
i688,v054,7
i689,v099,5
i690,v009,11
i691,v045,11
i692,v088,5
i693,v034,24
i694,out,
i695,v054,4
i696,v050,22
i697,v056,16
i698,v007,3
i699,v062,5
i700,v054,5
i701,v037,2
i702,v053,5
i703,v056,10
i704,v042,16
i705,v064,15
i706,v034,24
i707,v062,1
i708,v055,2
i709,v076,18
i710,v057,12
i711,v067,13
i712,v045,8
i713,v085,8
i714,v051,6
i715,v076,15
i716,v094,6
i717,v012,5
i718,v072,15
i719,v077,19
i720,v016,5
i721,v070,5
i722,v009,7
i723,v047,1
i724,v006,7
i725,v022,7
i726,v088,6
i727,v054,8
i728,v040,3
i729,v001,7
i730,v041,19
i731,v070,7
i732,v021,5
i733,v009,5
i734,v062,2
i735,v071,5
i736,v001,7
i737,v081,4
i738,v043,11
i739,v022,7
i740,v043,1
i741,v009,12
i742,v042,13
i743,v088,6
i744,v073,5
i745,v097,5
i746,v077,5
i747,v020,5
i748,v032,16
i749,v030,9
i750,v029,1
i751,out,
i752,out,
i753,v018,14
i754,v016,3
i755,v089,15
i756,v089,10
i757,v084,7
i758,v057,15
i759,v056,7
i760,v059,4
i761,v099,5
i762,v078,11
i763,v040,3
i764,v079,4
i765,v072,13
i766,v092,5
i767,v098,7
i768,v071,10
i769,v099,5
i770,v066,10
i771,v090,3
i772,out,
i773,v096,12
i774,v088,1
i775,v010,15
i776,out,
i777,v062,2
i778,v009,11
i779,v034,24
i780,v041,19
i781,v026,0
i782,v040,5
i783,v020,10
i784,v040,3
i785,v005,1
i786,v031,5
i787,v074,0
i788,v087,11
i789,v067,11
i790,out,
i791,v022,9
i792,v084,0
i793,v024,12
i794,out,
i795,v066,11
i796,v068,5
i797,v043,6
i798,v035,2
i799,v037,8
i800,v100,13
i801,v052,8
i802,v040,3
i803,v077,17
i804,v040,10
i805,v097,0
i806,v099,4
i807,v012,0
i808,v064,6
i809,v089,1
i810,v056,12
i811,v083,2
i812,v041,5
i813,v052,4
i814,v087,12
i815,v062,2
i816,v096,4
i817,v074,0
i818,v027,6
i819,v040,3
i820,v041,9
i821,v015,2
i822,v062,1
i823,v048,6
i824,v080,14
i825,v078,5
i826,v016,3
i827,v040,2
i828,v027,7
i829,v036,5
i830,v061,3
i831,v018,4
i832,v091,4
i833,v062,1
i834,v088,4
i835,v034,24
i836,v039,0
i837,v080,7
i838,v068,4
i839,v008,4
i840,v034,24
i841,v017,9
i842,v087,12
i843,v037,7
i844,v062,1
i845,v026,0
i846,v040,2
i847,v006,7
i848,v072,0
i849,out,
i850,v066,10
i851,v100,13
i852,v072,12
i853,v062,9
i854,v049,2
i855,v049,5
i856,v030,11
i857,v095,0
i858,v004,9
i859,v082,1
i860,v098,9
i861,v007,19
i862,v030,10
i863,v043,6
i864,v040,6
i865,v068,4
i866,v048,3
i867,v047,2
i868,v062,1
i869,v062,1
i870,v046,4
i871,v062,1
i872,v021,17
i873,v070,8
i874,v045,4
i875,v029,2
i876,v096,7
i877,v099,4
i878,v023,7
i879,v069,4
i880,v034,24
i881,v067,8
i882,v096,8
i883,v058,17
i884,v016,2
i885,v001,7
i886,v082,4
i887,out,
i888,v076,6
i889,v097,0
i890,v011,4
i891,v005,8
i892,out,
i893,v058,14
i894,v016,5
i895,v046,0
i896,v017,5
i897,v016,3
i898,v087,19
i899,v045,16
i900,v051,9
i901,v009,6
i902,v083,0
i903,v062,2
i904,v007,13
i905,v062,4
i906,v009,13
i907,v030,10
i908,v016,2
i909,v074,10
i910,v015,17
i911,v055,6
i912,v088,4
i913,v061,4
i914,v036,8
i915,v088,5
i916,out,
i917,v061,3
i918,out,
i919,v037,7
i920,v040,2
i921,v065,15
i922,v009,7
i923,v073,9
i924,v099,5
i925,v041,19
i926,v045,13
i927,v001,7
i928,v087,12
i929,v091,6
i930,v024,20
i931,v062,4
i932,v077,17
i933,v081,4
i934,v050,13
i935,v015,8
i936,v032,19
i937,v034,19
i938,v013,14
i939,v096,3
i940,v001,7
i941,v072,13
i942,v072,9
i943,v080,19
i944,v040,3
i945,v016,4
i946,v071,4
i947,v009,5
i948,v072,13
i949,v080,14
i950,v042,2
i951,v083,0
i952,out,
i953,v047,8
i954,v045,4
i955,v021,5
i956,v035,3
i957,v008,3
i958,v007,4
i959,v002,1
i960,v072,4
i961,v009,11
i962,v072,13
i963,out,
i964,v077,17
i965,v051,6
i966,v085,10
i967,out,
i968,v040,3
i969,v032,10
i970,v040,3
i971,v023,4
i972,out,
i973,v037,7
i974,v072,1
i975,out,
i976,v098,2
i977,v040,5
i978,v040,5
i979,v049,4
i980,v072,13
i981,v044,8
i982,v013,16
i983,v050,24
i984,v061,3
i985,v040,7
i986,out,
i987,v037,5
i988,v049,12
i989,v072,1
i990,v072,0
i991,v089,18
i992,v081,3
i993,v016,3
i994,v086,0
i995,v073,10
i996,v100,2
i997,v089,12
i998,v042,9
i999,v080,17
indexation,74.52879214286804,Tests,38.78466033935547
